show_name,show_id,season,episode_num,episode_name,original_air_date,synopsis
Full House,1,2,10,Middle Age Crazy,1989-01-06,Stephanie feels the loneliness and frustration of being the middle child.
Full House,1,2,11,A Little Romance,1989-01-13,D.J. learns the ups and downs of romance while bachelors Joey and Jesse are auctioned off at a charity auction.
Full House,1,2,12,Fogged In,1989-01-20,"The Tanner household becomes a virtual war zone when Jesse's feuding parents, Nick and Irene, are forced by a heavy fog to stay at the house during a fight."
Full House,1,2,13,Working Mothers,1989-02-03,Danny and the girls panic when Joey and Jesse are offered full-time jobs at an advertising agency.
Full House,1,2,14,Little Shop of Sweaters,1989-02-10,"D.J. and Stephanie become worried when they can't find enough money to replace a damaged Valentine's Day gift sweater. Meanwhile, Jesse has his first serious date with Rebecca."
Full House,1,2,15,Pal Joey,1989-02-17,"Danny feels increasingly abandoned as his best friend, Joey, and his brother-in-law, Jesse, become closer."
Full House,1,2,16,Baby Love,1989-02-24,"Michelle becomes very upset when her best friend and boyfriend, Howie, moves away."
Full House,1,2,17,El Problema Grande de D.J.,1989-03-10,"D.J. is shocked when she sees how her father, Danny, behaves toward her Spanish teacher after D.J. comes home with a poor report card."
Full House,1,2,18,"Goodbye, Mr. Bear",1989-03-24,"Everyone is puzzled at Stephanie's overreaction when her favorite stuffed animal, Mr. Bear, is missing."
Full House,1,2,19,Blast from the Past,1989-04-07,Joey is smitten when his old college sweetheart returns looking for romance.
Full House,1,2,20,"I'm There for You, Babe",1989-04-14,"After Jesse inadvertently schedules his musical group in two different places for the same night, the family helps by performing as a back-up band."
Full House,1,2,21,Luck Be a Lady (1),1989-04-28,"The family travels to Lake Tahoe, where Joey and the girls get lucky, and Jesse proposes marriage to Rebecca."
Full House,1,2,22,Luck Be a Lady (2),1989-05-05,"After Jesse and Rebecca agree to wed, Danny tries to convince them to change their minds."
Full House,1,3,1,Tanner's Island,1989-09-22,"Danny invites the whole family to Hawaii, where they are accidentally stranded on an island."
Full House,1,3,2,Back to School Blues,1989-09-29,"D.J. has a rough first day at junior high school when she finds all the kids more 'grown up' than she is, but she learns that more make-up isn't really the answer."
Full House,1,3,3,Breaking Up is Hard to Do (in 22 Minutes),1989-10-06,"Jesse and Becky have a big argument and discontinue their relationship, only to reunite with the help of D.J. Michelle learns to share. Stephanie becomes rich when the tooth fairy visits."
Full House,1,3,4,Nerd for a Day,1989-10-13,Stephanie learns a lesson about teasing when she must apologize to a boy for calling him 'Duckface.' Danny makes a mistake when he chooses Joey to be co-host for a day on his TV show.
Full House,1,3,5,Granny Tanny,1989-10-20,"Danny wants to make his retired mother feel needed when she comes for a visit, so he tells the others to lie to accomplish this goal. His plan works too well, and his mother wants to move in. Michelle graduates from a crib to a 'big girl' bed."
Full House,1,3,6,Star Search,1989-11-03,An appearance on Star Search is Joey's last chance to become famous before his self-imposed 10-year deadline. Ed McMahon appears as himself.
Full House,1,3,7,And They Call It Puppy Love,1989-11-10,The Tanner children want to keep a lost golden retriever that has wandered into their yard but instead get to keep an unexpected gift--a puppy.
Full House,1,3,8,Divorce Court,1989-11-17,"When the men argue over who is the best athlete in the house, the decide to resolve the argument with a race. But the competition becomes serious when Becky arrives to videotape the event for the show. Stephanie moves into Michelle's room."
Full House,1,3,9,Dr. Dare Rides Again,1989-11-24,"When an old friend comes to visit, Jesse tries to relive the recklessness he once thought was so terrific."
Full House,1,3,10,The Greatest Birthday on Earth,1989-12-01,Jesse and Stephanie improvise a circus-themed birthday party for Michelle when they're locked in a gas station and unable to attend the real party being given at the Tanner house.
Full House,1,3,11,Aftershocks,1989-12-08,Stephanie's reaction to an earthquake causes a problem that Danny can't seem to solve. D.J. has a problem with a pimple on her nose.
Full House,1,3,12,"Joey & Stacy and ... Oh, Yeah, Jesse",1989-12-15,"Joey Gladstone's new girlfriend, Stacey, points out that Jesse is too bossy towards Joey. Jesse realizes that Joey's ad ideas are just as good as his. Comet chews up homework, a tie and a bear!"
Full House,1,3,13,No More Mr. Dumb Guy,1990-01-05,"Jesse enlists Joey's help to appear more intellectual at a cultural event attended by his girlfriend, Rebecca Donaldson."
Full House,1,3,14,Misadventures in Baby-Sitting,1990-01-12,D.J. Tanner runs into problems while baby-sitting to earn money for her own phone. Jesse and Rebecca have a problem communicating.
Full House,1,3,15,Lust in the Dust,1990-01-26,"Danny's new girlfriend is tidy in some ways, a slob in others. Jesse thinks Michelle has hidden his keys."
Full House,1,3,16,"Bye, Bye Birdie",1990-02-02,Michelle's first day of preschool goes badly when she accidentally releases the class' pet bird. Stephanie becomes glued to D.J.'s diary.
Full House,1,3,17,13 Candles,1990-02-09,"At her thirteenth birthday party, D.J. Tanner must face embarrassment from her intrusive family as well as admit her own feelings for a boy."
Full House,1,3,18,Mr. Egghead,1990-02-16,"Stephanie's jitters over Class Picture Day aren't helped when Joey, in his new job as TV's 'Mr. Egghead,' accidentally injures her nose when she appears on his show."
Full House,1,3,19,Those Better Not Be the Days,1990-02-23,"Danny, Jesse, and Joey change places with the girls and act like the children. Later, the guys daydream about how the future would be if they didn't teach the girls how to help themselves."
Full House,1,3,20,"Honey, I Broke the House",1990-03-09,Stephanie wants to run away from home when she fears punishment for driving Joey's car into the kitchen.
Full House,1,3,21,Just Say No Way,1990-03-30,The problem of teenage drinking arises when D.J. is unjustly suspected of drinking beer at a school dance.
Full House,1,3,22,Three Men and Another Baby,1990-04-13,Three-year-old Michelle is jealous when the guys take care of a baby for the night and the baby gets all of their attention.
Full House,1,3,23,Fraternity Reunion,1990-04-27,"At a 10-year college reunion for fraternities and sororities, Joey and Danny decide to steal back their fraternity seal that a sorority swiped 10 years ago. They dress as women and go to the sorority reunion."
Full House,1,3,24,Our Very First Telethon,1990-05-04,The whole family joins the fun when Danny hosts a 24-hour telethon.
Full House,1,4,1,Greek Week,1990-09-21,Jesse's grandparents from Greece arrive for a visit and bring along some unexpected guests.
Full House,1,4,2,Crimes and Michelle's Demeanor,1990-09-28,"Danny finds it difficult to discipline 3-year-old Michelle, his 'baby girl.' Jesse sells his most prized possession--a guitar--to get money to pay for an engagement ring for Becky."
Full House,1,4,3,The I.Q. Man,1990-10-05,Jesse becomes a reluctant actor in a commercial he writes with Joey. Danny becomes Jesse and Joey's partner after he gives them money to start their own business.
Full House,1,4,4,Slumber Party,1990-10-12,"A mother / daughter slumber party leaves Stephanie feeling left out, until Joey and D.J. come to the rescue."
Full House,1,4,5,"Good News, Bad News",1990-10-19,"Jesse and Joey's first job is to produce a commercial for Wake Up San Francisco, but working for Danny is difficult."
Full House,1,4,6,A Pinch for a Pinch,1990-10-26,"Without Danny's knowledge, Jesse gives Michelle some very questionable advice on handling a bully and removes her from preschool."
Full House,1,4,7,Viva Las Joey,1990-11-02,"When Joey performs his comedy act in Las Vegas, his estranged father arrives unexpectedly--giving father and son the opportunity to reconcile their differences."
Full House,1,4,8,Shape Up,1990-11-09,D.J. goes on a strict diet so she can wear a bikini to Kimmy's birthday party.
Full House,1,4,9,One Last Kiss,1990-11-16,"When Jesse attends his high school reunion, he finds that he's still attracted to his high school sweetheart, although he's engaged to Rebecca."
Full House,1,4,10,Terror in Tanner Town,1990-11-23,"Danny invites his new girlfriend, Cindy, and her son, Rusty, to dinner. When an emergency happens, Cindy is forced to leave early without Rusty, who stays and annoys everyone in the house with his mischief."
Full House,1,4,11,Secret Admirer,1990-12-07,An unsigned love note causes nearly everyone in the Tanner family to believe he or she has a secret admirer.
Full House,1,4,12,Danny in Charge,1990-12-14,"When Joey and Jesse go on a camping trip, Danny discovers that the duties of a single parent can be overwhelming."
Full House,1,4,13,Happy New Year,1990-12-28,"Joey doesn't have a date for New Year's Eve, so Jesse and Danny enroll him in a video dating service."
Full House,1,4,14,Working Girl,1991-01-04,"D.J. takes a job at the mall to earn some money for an expensive pair of shoes, while Jesse and Rebecca set a wedding date--and location."
Full House,1,4,15,Ol' Brown Eyes,1991-01-11,"D.J. is horrified when she learns that her father, Danny, wants to sing at her school dance."
Full House,1,4,16,Stephanie Gets Framed,1991-01-25,Stephanie is upset when she finds out she needs to wear glasses and is worried that her classmates will ridicule her. Her neighbor Steve Urkel gives her some tips on how to handle her classmates.
Full House,1,4,17,A Fish Called Martin,1991-02-01,"Michelle's new fish, Martin, dies tragically when she gives him a bubble bath. In order to attract a boy she knows, D.J. learns all about his favorite topic--cars."
Full House,1,4,18,The Wedding (1),1991-02-08,"Wanting one last adventure before marriage, Jesse goes skydiving on his wedding day. Unfortunately, he lands in a tree and can't get down."
Full House,1,4,19,The Wedding (2),1991-02-15,Jesse is late for his wedding--because he's in jail.
Full House,1,4,20,Fuller House,1991-02-22,Jesse is sad when he returns from his honeymoon and realizes that it's time to move out of the Tanner house. But Rebecca has a plan that makes everyone happy.
Full House,1,4,21,The Hole-in-the-Wall Gang,1991-03-01,"D.J. and Stephanie accidentally knock a hole in their father's bedroom wall, and they desperately try to fix it before he returns home."
Full House,1,4,22,Stephanie Plays the Field,1991-03-08,"Brett, Stephanie's new boyfriend, plays on the Little League baseball team opposing her team. She's the star pitcher, and when he asks her to cheat so that his team can win the game, Stephanie makes a tough decision."
Full House,1,4,23,Joey Goes Hollywood,1991-03-29,"Joey is cast in a new 'Beach Party' television series with the stars of the original 1960s movies, FRANKIE AVALON and ANNETTE FUNICELLO. The whole family visits Hollywood for the taping of the pilot."
Full House,1,4,24,Girls Just Wanna Have Fun,1991-04-05,"When D.J. sneaks out of the house, against Danny's wishes, to meet her boyfriend, Ryan, Rebecca is caught in the dual role of being her trusting friend and a responsible adult."
Full House,1,4,25,The Graduates,1991-04-26,"Seeing his daughters graduate to the next grade level causes Danny to go through a mid-life crisis at the age of thirty-three, which results in a short-lived romance with a 21-year-old woman."
Full House,1,4,26,Rock the Cradle,1991-05-03,"When Jesse announces that his rock 'n' roll band has been signed by a major record company and will be going on tour for the summer, Rebecca surprises him with some good news of her own: She is pregnant!"
Full House,1,5,1,Double Trouble,1991-09-17,Michelle enters kindergarten and realizes that this new experience isn't what she wants. Becky and Jesse learn Becky is pregnant with twins.
Full House,1,5,2,Matchmaker Michelle,1991-09-24,"Michelle wants a new mother, so she decides to arrange a date between Danny and her kindergarten teacher."
Full House,1,5,3,"Take My Sister, Please",1991-10-01,D.J. no longer wants to share a room with Stephanie. Stephanie really feels unwanted when Michelle doesn't want Stephanie in her room either.
Full House,1,5,4,"Oh Where, Oh Where Has My Little Girl Gone?",1991-10-08,D.J. is upset by a rumor at school that she's bad at kissing. Danny fears that he and D.J. are drifting apart.
Full House,1,5,5,The King and I,1991-10-15,A man who looks like Elvis Presley helps Jesse through a family crisis.
Full House,1,5,6,The Legend of Ranger Joe,1991-10-22,"Ranger Roy, the host of a kids' cartoon show, is retiring, and Joey is going to replace him--or is he?"
Full House,1,5,7,The Volunteer,1991-10-29,D.J. becomes fond of an elderly gentleman at a nursing home where she's doing volunteer work.
Full House,1,5,8,Gotta Dance,1991-11-05,"Soon after Stephanie convinces Danny to pay for extra dance lessons, she realizes she made a mistake. Dancing all the time isn't the fun she had expected."
Full House,1,5,9,"Happy Birthday, Babies (1)",1991-11-12,Michelle's birthday party is interrupted when Rebecca starts to experience labor pains and is rushed to the hospital.
Full House,1,5,10,"Happy Birthday, Babies (2)",1991-11-12,"Michelle's birthday party has just begun when Becky begins labor. Becky gives birth to twin boys, Alexander and Nicholas."
Full House,1,5,11,Nicky and/or Alexander,1991-11-19,"While Rebecca returns from the hospital after the birth of her twins, a new co-host replaces her on Wake Up San Francisco. Jesse can't tell his boys apart."
Full House,1,5,12,Bachelor of the Month,1991-11-26,"When Danny is chosen 'Bachelor of the Month' by a San Francisco magazine, women suddenly take an avid interest in him. But Danny is interested in his new co-host, Vicky Larson."
Full House,1,5,13,Easy Rider,1991-12-03,Michelle wants Joey to teach her how to ride a bicycle--but blames him for not protecting her when she falls off.
Full House,1,5,14,Sisters in Crime,1991-12-17,D.J. sneaks out to the movies with Stephanie and Michelle to meet a boy she likes--after promising Danny that she would stay at home with the girls.
Full House,1,5,15,"Play It Again, Jess",1992-01-07,"Desperate to earn some money for his family, Jesse takes a job performing with an 'oldies' band at an airport cocktail lounge."
Full House,1,5,16,Crushed,1992-01-14,"Stephanie's favorite rock star, TOMMY PAGE, comes to her birthday party. D.J. also yearns for Tommy, and the girls both try to win his affection."
Full House,1,5,17,Spellbound,1992-01-28,"Stephanie competes in a spelling contest at school. Jesse gives Michelle a reading lesson, and Danny gives Stephanie a lesson in being a good loser."
Full House,1,5,18,Too Much Monkey Business,1992-02-11,Danny's sister Wendy comes to town with her pet chimpanzee to interview for a job at the local zoo. The chimpanzee wreaks havoc and develops a liking for Jesse--as Joey and Wendy start their own romance.
Full House,1,5,19,The Devil Made Me Do It,1992-02-18,"Michelle discusses her mischievousness with the 'Good Michelle' and the 'Bad Michelle' before she actually misbehaves. When 'Bad Michelle' wins, trouble follows."
Full House,1,5,20,Driving Miss D.J.,1992-02-25,"D.J. receives her learner's permit to drive, but Danny is too nervous to be a good instructor. Jesse volunteers to take over, but after D.J. scratches his car, he too, hesitates to teach her."
Full House,1,5,21,"Yours, Mine and Ours",1992-03-03,"Danny's plans for a fun night out with the family are doomed by the group's bad attitude. Meanwhile, Jesse and Rebecca quarrel over how to raise their twins."
Full House,1,5,22,Trouble with Danny,1992-03-17,"Danny is thrilled that 'Spring Cleaning Day' has arrived! He appoints chores to everyone in the house. When they gather to complain, Danny overhears. He reacts by becoming such a slob that the family asks him to be neat again."
Full House,1,5,23,Five's a Crowd,1992-03-31,"D.J. has a date with one of the popular guys in her school. Fearing the boy will take advantage of D.J., Danny, Joey and Jesse follow her to end the date."
Full House,1,5,24,Girls Will Be Boys,1992-04-28,A boy in Michelle's class calls Teddy a sissy for being Michelle's friend. Michelle talks to Jesse about the difference between boys and girls and acts like a miniature version of Jesse.
Full House,1,5,25,Captain Video (1),1992-05-05,"Michelle joins the 'Honey-Bees' and to the family's dismay tries to earn her first badge in cooking. When the TV station terminates Jesse as Joey's sidekick, Jesse decides to put all his effort into his music career--with no success."
Full House,1,5,26,Captain Video (2),1992-05-12,"Jesse's hopes for a record career are hurt during the taping of his video when he realizes the executives are marketing him in a way he detests. He quits, which he soon regrets."
Full House,1,6,1,Come Fly with Me,1992-09-22,D.J.'s happy homecoming from Spain is upset when Michelle and Stephanie mistakenly get on a plane to New Zealand.
Full House,1,6,2,The Long Goodbye,1992-09-29,"Danny and Vicky try to make their long distance romance work. Meanwhile, when Michelle learns that Teddy is moving far away, she tries to make him stay."
Full House,1,6,3,Road to Tokyo,1992-10-06,"When Jesse's record is a huge success in Japan, his record company sends him there to promote it. But the adulation he receives causes him to become extremely self-centered."
Full House,1,6,4,Radio Days,1992-10-13,"The program director of a local radio station agrees to hire Jesse as a disc jockey, but only if he is paired with Joey, with whom he's currently feuding."
Full House,1,6,5,Lovers and Other Tanners,1992-10-20,"Danny thinks that D.J. spends too much time with her boyfriend, Steve. She neglects her schoolwork and family responsibilities. But he learns to understand her feelings of love for Steve when he realizes he loves Vicky."
Full House,1,6,6,Educating Jesse,1992-10-27,"Jesse reluctantly admits that he did not finish high school. The family wants him to return to school, but it's not until he helps Michelle overcome a problem that he realizes he can do it."
Full House,1,6,7,Trouble in Twin Town,1992-11-10,"Rebecca's rich cousin, Dick, enters his daughters in a cutest twin contest. Jesse, tired of being insulted by Dick, enters Nicky and Alex--hoping they will win instead of Dick's twins."
Full House,1,6,8,The Play's the Thing,1992-11-17,"Jesse and Joey agree to direct Michelle's school play, but then Michelle is upset when they give someone else the starring role."
Full House,1,6,9,Nice Guys Finish First,1992-11-24,"After Joey promises Michelle he'll act nicely and not be mean, he becomes an ineffectual hockey player in an important game."
Full House,1,6,10,I'm Not D.J.,1992-12-01,"Stephanie desperately wants to get her ears pierced to be accepted by the 'cool' girls. Danny won't give his permission, so Stephanie lets Kimmy pierce her ears."
Full House,1,6,11,Desiging Mothers,1992-12-08,"When Vicky's mother, Liz, comes to San Francisco, she almost ruins Danny and Vicky's relationship by insisting that they marry."
Full House,1,6,12,A Very Tanner Christmas,1992-12-15,"Rebecca is nostalgic for a Midwestern Christmas; Danny longs for his absentee girlfriend, Vicky; and D.J. is melancholy after arguing with Steve. All three resolve their problems in the Christmas spirit."
Full House,1,6,13,The Dating Game,1993-01-05,"Both Joey and Stephanie try to turn friendly dinners into romantic first dates: Josh takes Stephanie out for pizza, and Joey invites his boss, Alison, to the house for dinner."
Full House,1,6,14,Birthday Blues,1993-01-19,D.J. almost forgets about Kimmy's 16th birthday and must--somehow--plan a big party for her.
Full House,1,6,15,Be True to Your Pre-School,1993-01-26,"After Jesse and Rebecca meet a very smart child who seems much more developed than their twins, Jesse lies on an application in order to enroll the twins in a very advanced pre-school."
Full House,1,6,16,The Heartbreak Kid,1993-02-09,"When D.J.'s boyfriend, Steve, gives Michelle a valentine, Michelle takes it seriously and starts making wedding plans."
Full House,1,6,17,Silence is Not Golden,1993-02-16,"When a schoolmate admits to Stephanie that his father beats him, she promises not to tell anyone. But she soon realizes that some promises have to be broken."
Full House,1,6,18,Please Don't Touch the Dinosaur,1993-02-23,"When Danny and Jesse disagree over how to chaperone Michelle's trip to the museum, her class ends up almost destroying a dinosaur exhibit."
Full House,1,6,19,Subterranean Graduation Blues,1993-03-02,"Jesse graduates from night school and is chosen to give a speech at the graduation. When the subway breaks down, Jesse misses the ceremony, but he convinces a young man on the train to finish his education."
Full House,1,6,20,Grand Gift Auto,1993-03-16,"When Joey gives D.J. a used car for a birthday present, everyone is thrilled--until they learn the car is stolen."
Full House,1,6,21,Room for One More,1993-04-06,"Jesse decides he would like to have another baby, but Rebecca isn't sure they could handle the extra work. Jesse tries to do a remote broadcast from home to prove they could manage it."
Full House,1,6,22,Prom Night,1993-05-04,"It's D.J.'s prom night, and the evening is going well until Steve and his ex-girlfriend are elected King and Queen of the prom."
Full House,1,6,23,The House Meets the Mouse (1),1993-05-11,"The entire household visits Disney World when Jesse is invited there to give a concert. Aladdin makes Michelle the new 'Princess of the Day,' and now she is the boss for the day. Danny tries to propose marriage to Vicky."
Full House,1,6,24,The House Meets the Mouse (2),1993-05-18,"At Disney World, the family searches the entire park for Michelle; Danny proposes to Vicky; and after quarreling, Jesse and Rebecca reunite. Michelle gives Stephanie her crown so Stephanie can be the princess in the parade."
Full House,1,7,1,It Was a Dark and Stormy Night,1993-09-14,"D.J., Stephanie and Michelle become frightened at an abandoned summer camp after Steve tells Michelle a scary story about the camp."
Full House,1,7,2,The Apartment,1993-09-21,"Steve moves into his own apartment, and D.J. is excited about how much privacy she and Steve can get over there, but a worried Danny spies on them through a window when D.J. breaks curfew. Meanwhile, Michelle can not find a hobby for Hobby Day at school, so she begins collecting leaves from the yard. Jesse and Joey try to pave the driveway – with disastrous results."
Full House,1,7,3,Wrong-Way Tanner,1993-09-28,When Michelle scores a goal for the wrong team--causing her team to lose a soccer game--Stephanie shows her videotape of everyone in the family doing embarrassing things.
Full House,1,7,4,Tough Love,1993-10-05,"Jesse has problems disciplining the twins. Danny bribes his children to eat a dinner that his girlfriend, Vicky Larson, cooks."
Full House,1,7,5,Fast Friends,1993-10-12,"Stephanie's only new friend in school smokes, and Stephanie worries whether she too should smoke."
Full House,1,7,6,Smash Club: The Next Generation,1993-10-19,"Jesse inherits the Smash Club, a bar in which he used to play that has closed. He wants to reopen it but first must be approved for a bank loan."
Full House,1,7,7,High Anxiety,1993-10-26,Michelle wants Danny to stop treating her like a baby. Jesse can't make decisions about the renovation of his club.
Full House,1,7,8,"Another Opening, Another No Show",1993-11-02,"When Jesse opens the Smash Club, everything goes wrong: He misses most of the festivities when he gets locked in a storeroom with Kimmy."
Full House,1,7,9,The Day of the Rhino,1993-11-09,"Michelle is cheated by a TV advertisement and protests. D.J., Vicky and Rebecca teach Steve, Jesse and Danny a lesson about lying."
Full House,1,7,10,The Prying Game,1993-11-16,"Jesse tries his homemade hairspray guard on Michelle, and Jesse, Danny and Joey decide to sell it on television. D.J. gets angry when Stephanie pries into her private life."
Full House,1,7,11,The Bicycle Thief,1993-11-23,"When Michelle's pink bicycle is stolen, Danny, Jesse and Joey search for it. They bring back several pink bicycles--but not Michelle's."
Full House,1,7,12,Support Your Local Parents,1993-11-30,Michelle and Stephanie 'blackmail' D.J. when they learn she got a traffic ticket in Danny's car. Jesse and Rebecca discover that their twin sons won't play with other children.
Full House,1,7,13,The Perfect Couple,1993-12-14,"Joey gets a job as the host of a local game show, The Perfect Couple. He gets the family to do the first show with him, with D.J. and Steve as the dating couple, Jesse and Becky as the married couple, and Danny and Vicky as the engaged couple. Vicky can't make it, so Danny has to pair up with an old woman named Estelle. The director of the show tells Joey to embarrass the contestants, and he does, much to the family's dismay. At the end of the show, Vicky shows up and tells Danny that she got a job as network anchor in New York. Danny tells her that he cannot take a long-distance relationship, and the two break off their engagement and break up, although they still have feelings for each other. Back at home, Stephanie is babysitting Nicky and Alex and has trouble getting them to obey her."
Full House,1,7,14,Is It True About Stephanie?,1994-01-04,Danny rearranges the furniture in order to cope with his sadness about ending his relationship with Vicky. Stephanie gets revenge on a schoolmate who plays a mean trick on her.
Full House,1,7,15,The Test,1994-01-11,"D.J. is nervous about taking the upcoming SAT test. The night before the test is given, D.J. has a nightmare about the test going all wrong. Meanwhile, Michelle goes overboard with her whistle reporting 'safety violations'."
Full House,1,7,16,Joey's Funny Valentine,1994-01-25,"Joey's new girlfriend, a comedienne, embarrasses the Tanner household by joking about them in her comedy routine."
Full House,1,7,17,The Last Dance,1994-02-08,"Grandpa 'Papouli' Katsopolis dies in his sleep during his visit to the Tanner household, and Danny, his daughters and Jesse cope with their grief in different ways."
Full House,1,7,18,Kissing Cousins,1994-02-15,"Jesse's Greek cousin, Stavros, visits the Tanner household and takes advantage of their generosity and kindness."
Full House,1,7,19,Love on the Rocks,1994-03-01,"Joey plays a prank on his roommates, and they decide to seek revenge. D.J. ends her relationship with Steve."
Full House,1,7,20,Michelle a la Cart,1994-03-15,Sexual stereotypes are challenged when Michelle and Rebecca build a racecar and Joey takes ballet lessons from Stephanie.
Full House,1,7,21,Be Your Own Best Friend,1994-04-05,Michelle angers two friends when she can't decide who is her best friend. Jesse is jealous when Joey's girlfriend appears on their radio show and they ignore him.
Full House,1,7,22,A Date with Fate,1994-05-03,"Danny's date and D.J.'s date meet and become attracted to each other. Rebecca's sons, Nicky and Alexander, learn a Mother's Day song."
Full House,1,7,23,Too Little Richard Too Late,1994-05-10,"Joey wants to be elected PTA (Parent-Teachers' Association) president because he worries that the school wants to discontinue teaching art. Denise's uncle, Little Richard, helps Joey's campaign."
Full House,1,7,24,A House Divided,1994-05-17,"A millionaire who lived in the Tanner house growing up wants to buy it from Danny, offering twice as much money as the house is worth. Everyone agrees and is excited about moving and starting new lives, except little Michelle, and she will stop at nothing to stay in 'the only house she's ever lived in'."
